######################################################################
#
# XLX live Reflector host file.
#
# This host file is auto-generated by the
# XLX self-registration mechanism.
#
######################################################################
#
#  If you like to use your XLX as a DCS Reflector,
#  please use an XLX number higher than 034.
#  DCS001 – 034 is used by the German D-Star developer team !!!
#
######################################################################
#
# If you find a mismatched entry please sent a mail to: dvc@rlx.lu
# Last update: 22.11.2022
#
###################################################################### 

#
# XLX-DCS Reflectors
#
DCS000	45.62.230.56
#DCS001	80.211.62.178
#DCS002	140.82.62.162
#DCS003	173.199.124.183
#DCS004	44.103.34.3
DCS005	87.117.229.51
#DCS006	162.55.61.122
DCS007	44.137.42.27
#DCS008	45.77.153.132
DCS009	118.150.164.96
DCS010	85.197.129.86
DCS011	81.95.126.168
DCS012	46.41.2.20
DCS013	18.188.189.124
DCS014	52.63.223.130
DCS015	194.59.205.228
#DCS016	150.66.42.17
DCS017	191.162.172.183
#DCS018	161.97.73.43
DCS019	31.7.247.58
DCS020	66.175.215.217
#DCS021	148.251.94.163
#DCS022	83.137.45.98
#DCS023	77.85.192.94
#DCS024	37.102.122.254
#DCS025	89.38.150.252
DCS026	209.42.149.140
#DCS027	198.12.71.101
DCS028	216.128.130.30
#DCS029	3.129.150.138
DCS030	194.59.177.44
#DCS031	201.62.48.60
DCS032	158.64.26.140
DCS033	152.228.170.16
#DCS034	176.121.81.54
DCS035	45.79.94.184
DCS036	101.89.136.112
DCS037	198.100.154.155
DCS038	44.103.34.19
DCS039	212.237.3.90
DCS040	185.11.166.85
DCS041	66.30.219.127
DCS043	206.189.239.225
DCS044	45.33.92.245
DCS045	70.44.20.24
DCS046	190.54.137.189
DCS047	202.171.147.58
DCS048	209.141.41.253
DCS049	212.71.234.224
DCS050	140.82.51.26
DCS051	93.186.254.219
DCS052	128.22.149.69
DCS053	10.49.243.18
DCS054	208.104.55.181
DCS055	52.80.4.154
DCS056	66.42.126.197
DCS057	216.84.141.161
DCS058	150.66.16.176
DCS059	18.219.32.21
DCS060	45.76.133.116
DCS061	192.248.160.49
DCS063	93.49.253.148
DCS064	122.222.1.50
DCS065	74.130.9.190
DCS066	47.100.164.89
DCS067	140.228.144.142
DCS068	92.222.145.202
DCS069	51.77.213.200
DCS070	18.130.199.150
