######################################################################
#
# XLX live DMR Master Reflector host file.
#
# This host file is auto-generated by the
# XLX self-registration mechanism.
#
######################################################################
#
# If you find a mismatched entry please sent a mail to: dvc@rlx.lu
# Last update: 22.11.2022
#
###################################################################### 
#
# XLX-DMR Reflectors
#
XLX000	45.62.230.56
XLX001	80.211.62.178
XLX002	140.82.62.162
XLX004	44.103.34.3
XLX005	87.117.229.51
XLX006	162.55.61.122
XLX007	44.137.42.27
XLX008	45.77.153.132
XLX009	118.150.164.96
XLX010	85.197.129.86
XLX011	81.95.126.168
XLX012	46.41.2.20
XLX013	18.188.189.124
XLX014	52.63.223.130
XLX015	194.59.205.228
XLX016	150.66.42.17
XLX017	191.162.172.183
XLX018	161.97.73.43
XLX019	31.7.247.58
XLX020	66.175.215.217
XLX021	148.251.94.163
XLX022	83.137.45.98
XLX023	77.85.192.94
XLX024	37.102.122.254
XLX025	89.38.150.252
XLX026	209.42.149.140
XLX027	198.12.71.101
XLX028	216.128.130.30
XLX029	3.129.150.138
XLX030	194.59.177.44
XLX031	201.62.48.60
XLX032	158.64.26.140
XLX033	152.228.170.16
XLX034	176.121.81.54
XLX035	45.79.94.184
XLX036	101.89.136.112
XLX037	198.100.154.155
XLX038	44.103.34.19
XLX039	212.237.3.90
XLX040	185.11.166.85
XLX041	66.30.219.127
XLX043	206.189.239.225
XLX044	45.33.92.245
XLX045	70.44.20.24
XLX046	190.54.137.189
XLX047	202.171.147.58
XLX048	209.141.41.253
XLX049	212.71.234.224
XLX050	140.82.51.26
XLX051	93.186.254.219
XLX052	128.22.149.69
XLX053	10.49.243.18
XLX054	208.104.55.181
XLX055	52.80.4.154
XLX056	66.42.126.197
XLX057	216.84.141.161
XLX058	150.66.16.176
XLX059	18.219.32.21
XLX060	45.76.133.116
XLX061	192.248.160.49
XLX063	93.49.253.148
XLX064	122.222.1.50
XLX065	74.130.9.190
XLX066	47.100.164.89
XLX067	140.228.144.142
XLX068	92.222.145.202
XLX069	51.77.213.200
XLX070	18.130.199.150
XLX071	211.60.41.185
XLX072	45.22.199.201
XLX073	45.77.192.120
XLX074	222.128.4.82
XLX076	203.137.116.117
XLX077	47.87.214.77
XLX078	18.236.66.239
XLX079	211.42.152.122
XLX080	180.144.16.178
XLX081	112.71.222.105
XLX082	93.51.103.229
XLX084	136.244.64.57
XLX085	113.150.26.8
XLX086	140.179.13.243
XLX088	44.137.37.242
XLX089	66.59.196.12
XLX090	18.234.51.231
XLX091	82.223.20.103
XLX092	80.211.182.156
XLX093	87.1.30.33
XLX095	203.137.76.53
XLX096	121.145.136.53
XLX098	119.238.109.217
XLX099	80.211.27.75
XLX100	45.62.232.11
XLX101	45.62.250.202
XLX102	24.172.229.151
XLX103	24.172.229.152
XLX104	24.172.229.153
XLX105	51.254.99.78
XLX107	114.115.167.98
XLX108	60.84.77.81
XLX109	182.168.253.90
XLX110	140.82.14.24
XLX111	61.195.96.160
XLX112	82.223.54.35
XLX113	115.159.93.156
XLX114	164.90.140.111
XLX115	217.182.128.3
XLX116	80.211.90.242
XLX117	200.108.249.62
XLX118	5.249.148.252
XLX119	23.234.239.179
XLX120	129.123.74.133
XLX121	44.31.111.121
XLX122	194.37.80.40
XLX124	211.14.169.234
XLX125	213.181.208.52
XLX126	217.173.179.95
XLX128	75.166.166.47
XLX129	150.66.36.114
XLX130	81.231.241.25
XLX131	45.80.171.194
XLX132	91.203.55.87
XLX133	62.220.129.89
XLX136	114.157.146.54
XLX137	66.85.173.37
XLX138	103.195.7.20
XLX139	66.42.93.25
XLX140	95.211.211.145
XLX141	3.19.122.217
XLX144	54.188.28.93
XLX147	124.123.68.50
XLX148	122.154.141.51
XLX149	122.154.140.136
XLX150	192.241.158.197
XLX151	159.203.105.64
XLX154	153.179.231.210
XLX155	217.182.156.151
XLX156	18.233.216.229
XLX160	61.195.109.179
XLX162	212.91.190.81
XLX163	45.143.93.75
XLX165	79.107.239.187
XLX171	194.87.145.34
XLX174	81.169.128.244
XLX175	162.248.92.25
XLX176	128.22.152.69
XLX177	51.77.151.223
XLX178	178.251.180.150
XLX180	192.241.240.7
XLX181	108.61.242.174
XLX182	121.176.76.170
XLX183	45.32.75.47
XLX186	111.202.44.36
XLX190	190.194.12.53
XLX191	153.92.4.97
XLX192	118.27.9.127
XLX197	44.184.136.20
XLX199	82.29.37.151
XLX200	44.31.61.66
XLX201	157.245.45.67
XLX202	37.59.36.82
XLX204	77.162.87.115
XLX207	153.37.53.239
XLX208	213.186.34.50
XLX209	173.247.7.157
XLX210	161.97.169.233
XLX211	47.110.34.230
XLX212	52.38.90.188
XLX214	80.211.94.145
XLX215	207.246.95.65
XLX216	74.214.25.135
XLX218	51.222.85.251
XLX219	3.225.138.100
XLX220	164.70.120.126
XLX221	44.103.34.21
XLX222	93.186.251.81
XLX223	87.106.152.249
XLX224	203.137.99.97
XLX225	61.195.108.252
XLX227	89.33.44.100
XLX228	51.68.191.218
XLX229	195.49.75.204
XLX231	217.133.15.187
XLX232	89.185.97.35
XLX234	95.179.236.76
XLX235	194.146.49.33
XLX236	209.190.4.10
XLX237	74.196.158.133
XLX238	95.154.31.11
XLX240	75.39.2.11
XLX241	51.83.98.154
XLX242	66.42.84.85
XLX244	72.14.187.79
XLX245	192.248.165.35
XLX246	172.93.48.159
XLX247	136.244.97.211
XLX248	81.150.15.15
XLX250	85.208.48.207
XLX254	184.82.175.101
XLX255	142.91.158.199
XLX256	162.238.214.18
XLX257	45.89.88.118
XLX258	45.22.199.202
XLX259	149.202.75.50
XLX260	54.37.138.47
XLX262	92.194.132.135
XLX263	85.214.92.118
XLX264	52.2.131.118
XLX266	62.171.178.202
XLX267	91.209.16.180
XLX268	185.11.166.22
XLX270	158.64.26.132
XLX272	69.164.222.129
XLX277	63.78.117.77
XLX280	95.246.114.98
XLX281	74.91.126.68
XLX284	85.187.70.88
XLX286	93.186.113.147
XLX287	66.42.109.165
XLX288	172.112.239.190
XLX289	76.144.206.116
XLX290	44.182.7.20
XLX291	101.143.242.189
XLX295	74.208.48.179
XLX298	122.133.153.185
XLX299	202.36.45.107
XLX300	64.227.109.134
XLX301	124.187.44.129
XLX302	144.217.241.23
XLX303	75.70.52.143
XLX304	142.93.246.87
XLX305	178.250.54.203
XLX306	66.37.140.152
XLX308	18.117.43.70
XLX309	198.74.54.133
XLX311	88.99.242.33
XLX312	192.241.160.183
XLX313	34.213.108.164
XLX314	186.18.41.172
XLX315	73.111.54.112
XLX316	68.102.142.116
XLX320	162.203.31.194
XLX321	44.169.1.30
XLX322	76.219.234.40
XLX323	76.128.198.150
XLX325	168.235.80.185
XLX326	61.195.125.193
XLX327	104.238.156.182
XLX328	212.237.33.114
XLX329	60.47.228.78
XLX330	23.129.32.82
XLX332	188.213.168.99
XLX333	46.149.220.118
XLX334	96.47.95.121
XLX335	76.20.215.85
XLX336	23.226.233.133
XLX337	20.118.24.47
XLX338	220.135.221.114
XLX339	178.254.30.57
XLX345	212.114.109.209
XLX350	180.21.181.9
XLX351	45.33.127.97
XLX353	44.155.254.12
XLX355	91.146.254.54
XLX356	217.174.61.117
XLX359	94.156.172.213
XLX362	198.166.220.68
XLX364	159.65.231.53
XLX365	222.6.234.205
XLX367	18.216.66.72
XLX369	72.89.122.8
XLX370	188.213.168.24
XLX373	218.251.42.130
XLX374	68.183.19.139
XLX375	86.57.150.4
XLX376	149.28.166.59
XLX377	186.159.96.100
XLX379	74.91.117.153
XLX381	74.91.114.100
XLX382	210.188.60.150
XLX383	157.90.255.94
XLX385	141.138.10.86
XLX386	23.101.123.22
XLX387	209.250.237.53
XLX388	162.248.93.241
XLX389	45.32.218.174
XLX391	185.82.114.246
XLX395	95.255.196.50
XLX400	18.189.232.40
XLX405	172.105.11.104
XLX406	45.62.229.114
XLX407	68.204.65.187
XLX408	45.62.246.122
XLX410	162.209.78.83
XLX411	45.19.176.12
XLX412	61.195.107.113
XLX414	66.42.113.132
XLX416	70.49.56.192
XLX417	142.113.158.223
XLX418	138.197.136.190
XLX419	144.202.60.46
XLX420	44.207.228.173
XLX421	178.254.33.188
XLX422	91.36.173.36
XLX425	78.121.109.81
XLX427	68.230.147.59
XLX430	27.93.26.85
XLX431	61.195.98.225
XLX432	103.4.234.160
XLX434	51.254.128.134
XLX435	128.22.130.154
XLX436	183.77.38.232
XLX437	133.242.137.76
XLX439	79.42.246.218
XLX440	218.251.80.22
XLX441	203.137.99.110
XLX444	51.83.46.75
XLX445	18.221.229.191
XLX446	75.187.166.206
XLX448	66.206.51.107
XLX449	75.68.41.0
XLX450	220.71.19.222
XLX453	61.239.171.240
XLX454	218.103.102.5
XLX455	208.71.169.83
XLX456	54.37.205.183
XLX459	150.66.16.108
XLX460	87.14.251.133
XLX466	155.138.228.137
XLX467	153.126.179.214
XLX469	70.35.240.23
XLX470	104.153.108.131
XLX475	118.27.35.184
XLX476	171.33.84.7
